Gene;Gene name;Tissue;TPM
ENSG00000003402;CFLAR;parathyroid gland;46.3
ENSG00000003402;CFLAR;placenta;134.8
ENSG00000003402;CFLAR;prostate;74.9
ENSG00000003402;CFLAR;rectum;62.7
ENSG00000003402;CFLAR;salivary gland;22.9
ENSG00000003402;CFLAR;seminal vesicle;86.9
ENSG00000003402;CFLAR;skeletal muscle;31.3
ENSG00000003402;CFLAR;skin;44.5
ENSG00000003402;CFLAR;small intestine;69.0
ENSG00000003402;CFLAR;smooth muscle;86.1
ENSG00000003402;CFLAR;spleen;117.9
ENSG00000003402;CFLAR;stomach;51.2
ENSG00000003402;CFLAR;T-cells;59.5
ENSG00000003402;CFLAR;testis;46.6
ENSG00000003402;CFLAR;thyroid gland;87.4
ENSG00000003402;CFLAR;tonsil;98.3
ENSG00000003402;CFLAR;urinary bladder;69.8
ENSG00000003989;SLC7A2;adipose tissue;18.2
ENSG00000003989;SLC7A2;adrenal gland;14.9
ENSG00000003989;SLC7A2;appendix;4.8
ENSG00000003989;SLC7A2;B-cells;0.0
ENSG00000003989;SLC7A2;bone marrow;0.1
ENSG00000003989;SLC7A2;breast;19.1
ENSG00000003989;SLC7A2;cerebral cortex;12.0
ENSG00000003989;SLC7A2;cervix, uterine;51.5
ENSG00000003989;SLC7A2;colon;3.8
ENSG00000003989;SLC7A2;dendritic cells;0.0
ENSG00000003989;SLC7A2;duodenum;2.4
ENSG00000003989;SLC7A2;endometrium;21.9
ENSG00000003989;SLC7A2;epididymis;21.6
ENSG00000003989;SLC7A2;esophagus;12.4
ENSG00000003989;SLC7A2;fallopian tube;67.9
ENSG00000003989;SLC7A2;gallbladder;17.6
ENSG00000003989;SLC7A2;granulocytes;0.0
ENSG00000003989;SLC7A2;heart muscle;7.8
ENSG00000003989;SLC7A2;kidney;8.7
ENSG00000003989;SLC7A2;liver;91.8
ENSG00000003989;SLC7A2;lung;10.8
ENSG00000003989;SLC7A2;lymph node;3.1
ENSG00000003989;SLC7A2;monocytes;0.0
ENSG00000003989;SLC7A2;NK-cells;0.0
ENSG00000003989;SLC7A2;ovary;60.6
ENSG00000003989;SLC7A2;pancreas;17.5
ENSG00000003989;SLC7A2;parathyroid gland;381.7
ENSG00000003989;SLC7A2;placenta;13.9
ENSG00000003989;SLC7A2;prostate;22.8
ENSG00000003989;SLC7A2;rectum;4.8
ENSG00000003989;SLC7A2;salivary gland;2.0
ENSG00000003989;SLC7A2;seminal vesicle;10.0
ENSG00000003989;SLC7A2;skeletal muscle;33.2
ENSG00000003989;SLC7A2;skin;5.5
ENSG00000003989;SLC7A2;small intestine;2.9
ENSG00000003989;SLC7A2;smooth muscle;19.4
ENSG00000003989;SLC7A2;spleen;3.7
ENSG00000003989;SLC7A2;stomach;4.8
ENSG00000003989;SLC7A2;T-cells;0.0
ENSG00000003989;SLC7A2;testis;29.0
ENSG00000003989;SLC7A2;thyroid gland;74.8
ENSG00000003989;SLC7A2;tonsil;3.3
ENSG00000003989;SLC7A2;urinary bladder;7.7
ENSG00000004139;SARM1;adipose tissue;2.2
ENSG00000004139;SARM1;adrenal gland;4.5
ENSG00000004139;SARM1;appendix;4.6
ENSG00000004139;SARM1;B-cells;0.1
ENSG00000004139;SARM1;bone marrow;0.8
ENSG00000004139;SARM1;breast;1.7
ENSG00000004139;SARM1;cerebral cortex;7.1
ENSG00000004139;SARM1;cervix, uterine;2.5
ENSG00000004139;SARM1;colon;2.0
ENSG00000004139;SARM1;dendritic cells;0.2
ENSG00000004139;SARM1;duodenum;7.5
ENSG00000004139;SARM1;endometrium;4.8
ENSG00000004139;SARM1;epididymis;4.9
ENSG00000004139;SARM1;esophagus;1.4
ENSG00000004139;SARM1;fallopian tube;5.2
ENSG00000004139;SARM1;gallbladder;2.4
ENSG00000004139;SARM1;granulocytes;0.1
ENSG00000004139;SARM1;heart muscle;1.0
ENSG00000004139;SARM1;kidney;1.9
ENSG00000004139;SARM1;liver;0.6
ENSG00000004139;SARM1;lung;3.0
