Gene;Gene name;Tissue;TPM
ENSG00000004809;SLC22A16;hypothalamus;0.0
ENSG00000004809;SLC22A16;kidney;0.0
ENSG00000004809;SLC22A16;liver;0.0
ENSG00000004809;SLC22A16;lung;0.4
ENSG00000004809;SLC22A16;midbrain;0.0
ENSG00000004809;SLC22A16;ovary;0.0
ENSG00000004809;SLC22A16;pancreas;0.0
ENSG00000004809;SLC22A16;pituitary gland;0.0
ENSG00000004809;SLC22A16;prostate;0.0
ENSG00000004809;SLC22A16;salivary gland;0.1
ENSG00000004809;SLC22A16;skeletal muscle;0.0
ENSG00000004809;SLC22A16;skin;0.1
ENSG00000004809;SLC22A16;small intestine;0.0
ENSG00000004809;SLC22A16;spinal cord;0.0
ENSG00000004809;SLC22A16;spleen;0.4
ENSG00000004809;SLC22A16;stomach;0.0
ENSG00000004809;SLC22A16;testis;19.8
ENSG00000004809;SLC22A16;thyroid gland;0.0
